song-title,song-artist,song-lyrics
Devil’s Daughter,Kacy & Clayton,"well i know where you live i know you live alone
ill pay a visit in your darkest hour
ive got a treat in store wont be the same no more
and i will demonstrate my holy power
prechorus
i see through what it is inside you
ill make you breakdown breakdown
breakdown and cry
devils daughter you dont want a holy war
devils daughter you dont want a holy war
you know what im about ill cast the demons out
and ill persist until the battles won
ill feel your creeping flesh if youre to be possessed
then i will desecrate what youve become
prechorus
i see through what it is inside you
ill make you breakdown breakdown
breakdown and cry
e
devils daughter you dont want a holy war
devils daughter you dont want a holy war
devils daughter you dont want a holy war
devils daughter
the time has come at last your future days have past
no use in fighting battles you cant win
the final conflicts lost you cant afford the cost
dont try to expiate your fathers sins
prechorus
i see through what it is inside you
ill make you breakdown breakdown
breakdown and cry
breakdown breakdown
breakdown and cry
d d d devils daughter im watching you watching you
d d d devils daughter im watching you watching you
d d d devils daughter im watching you watching you
d d d devils
aaahahahahahaaaahahahahd
"
Devil’s Daughter,Kacy & Clayton,"well i know where you live i know you live alone
ill pay a visit in your darkest hour
ive got a treat in store wont be the same no more
and i will demonstrate my holy power
prechorus
i see through what it is inside you
ill make you breakdown breakdown
breakdown and cry
devils daughter you dont want a holy war
devils daughter you dont want a holy war
you know what im about ill cast the demons out
and ill persist until the battles won
ill feel your creeping flesh if youre to be possessed
then i will desecrate what youve become
prechorus
i see through what it is inside you
ill make you breakdown breakdown
breakdown and cry
e
devils daughter you dont want a holy war
devils daughter you dont want a holy war
devils daughter you dont want a holy war
devils daughter
the time has come at last your future days have past
no use in fighting battles you cant win
the final conflicts lost you cant afford the cost
dont try to expiate your fathers sins
prechorus
i see through what it is inside you
ill make you breakdown breakdown
breakdown and cry
breakdown breakdown
breakdown and cry
d d d devils daughter im watching you watching you
d d d devils daughter im watching you watching you
d d d devils daughter im watching you watching you
d d d devils
aaahahahahahaaaahahahahd
"
What Comes After Certainty,Bill Callahan,"true love is not magic
its certainty
and what comes after certainty
a world of mystery
i stood on the surf in kauai
while my love videoed me
on honeymoon
the passenger is the driver in ecstasy
and gods face on the water
though plain to see
its still hard to read
well i never thought id make it this far
little old house recentmodel car
and i got the woman of my dreams
and an imitation eames
and i signed willies guitar
he sang hey good lookin what you got cookin
and i signed willies guitar when he wasnt looking
well i dont believe in fate
i believe in destiny
whoa my destiny is swerving in the road in front me drunkenly
when you take responsibility for your own divinity
true love is not magic
its certainty
and what comes after certaintyed
"
Make It Real,Dear Nora,"tonight its been a year
we met each other here
well here i am all alone
as thoughts of you go on
prechorus
hear me cryin out to you
you said never never would i leave
heres a tear from me to you
and maybe it will make you hear me
i loved you
you didnt feel the same
though were apart youre in my heart
give me one more chance to make it real
in a dream you are here
you smile and hold me near
and in my heart ill pretend
that you are here again
prechorus
hear me cryin out to you
you said never never would i leave
heres a tear from me to you
and maybe it will make you hear me
e
i loved you
you didnt feel the same
though were apart youre in my heart
give me one more chance to make it real
guitar solo
i loved you
you didnt feel the same
though were apart youre in my heart
give me one more chance to make it real
give me one more chance to make it reald
"
My Grandfather's Clock,John Fahey,"my grandfathers clock was too large for the shelf
so it stood ninety years on the floor
it was taller by half than the old man himself
though it weighed not a pennyweight more
it was bought on the morn of the day that he was born
and was always his treasure and pride
but it stopped short never to go again
when the old man died
ninety years without slumbering
his life seconds numbering
it stopped short never to go again
when the old man died
my grandfather said that of those he could hire
not a servant so faithful he found
for it wasted no time and had but one desire
at the close of each week to be wound
and it kept in its place not a frown upon its face
and its hands never hung by its side
but it stopped short never to go again
when the old man died
it rang and alarmed in the dead of the night
an alarm that for years had been dumb
and we knew that his spirit was pluming for flight
that his hour for departure had come
still the clock kept the time with a soft and muffled chime
as we silently stood by his side
but it stopped short never to go again
when the old man died
eninety years without slumbering
his life seconds numbering
it stopped short never to go again
when the old man diedd
"
Mountain Rock,Dear Nora,"cold tonight and im alone in catalina
overwhelmed with the sound of the mountain rock
rockabye coyote
rockabye jack rabbit
rockabye myself
cold tonight and im alone outside the house
singing under the hum of the harvest moon
rockabye oracle
rockabye sugar bush
rockabye myselfed
"
I don't love nobody,Elizabeth Cotten,"i dont love nobody
nobody dont love me
all they want is my money
they got no time for me
think i will live single
be free all of my life
i dont love nobody
nobody dont love meed
"
Bill Murray,Phantogram,"am i lonely
oh it feels like when the day breaks
am i wanted inside
say goodbye do you feel liked
wave goodbye and your hearts not in line
burning star
burning star
am i lonely
cause it feels right
if i look up can you keep me alive
wave goodbye to your family and friends
those lost ants
and your eyes bleed when you see
cause nothing works inside
burning star
burning starsee phantogram liveget tickets as low as ed
"
I Love You Like An Alcoholic,The Taxpayers,"heavy humid night corner of park and main
cast that first glance your smile my veins
at maximum capacity blood pumping so fast
my girl if looks gave heart attacks
the dangerous men in the shadows were like an audience and even the meanest among them had a special little shine in their eyes when they saw us walk by
walked about twenty blocks talking about good bars and better towns than this one
kissed that first night and then the rain opened up the sky to get
one last kiss i love you like an alcoholic
one last kiss i love you like a statuette
one last kiss i need you like i need a broken leg
i was getting off the late shift
attempting to recover
crumpled up the bus pass
tossed it into the gutter
some handsome dark stranger
you were standing there on the corner
you had those compelling magnetized eyes you must have lost when you got older
seven blocks in my fingers brushed your hand
i blushed and you laughed but you seemed a little sad
i aint one to jump a ship but i absolutely knew
i was six steps in when i fell into you
e
one last kiss i love you like a broken pot
one last kiss i love you like a pack of dogs
one last kiss i need you like i need a gaping head wound
one last kiss i love you like an alcoholic
one last kiss i love you like a nglige
one last kiss i need you like i need a broken legd
"
Gallowdance,Lebanon Hanover,"dance with me the gallowdance
as long as we as long as were not hanging
as long as we still can my love
we both know the string is always ready
dance with me the gallowdance
for all the degradation in this land
dance with me the gallowdance
as disorientated as you can
tanz mit mir den galgentanz
solange wir solange wir noch nicht hngen
tanz mit mir den galgentanz
solange wir solange wir noch knnen
der baum er steht schon lange da mein schatz
er wartet nur darauf dass wir uns trennen
der baum steht schon da mein schatz
ein wunderschner baum um sich zu erhngensee lebanon hanover liveget tickets as low as ed
"
Tire Swing,Kimya Dawson,"i took the polaroid down in my room
im pretty sure you have a new girlfriend
its not as if i dont like you
it just makes me sad whenever i see it
cause i like to be gone most of the time
and you like to be home most of the time
if i stay in one place i lose my mind
im a pretty impossible lady to be with
joey never met a bike that he didnt wanna ride
and i never met a tobey that i didnt like
scotty liked all of the books that i recommended
even if he didnt i wouldnt be offended
i had a dream that i had to drive to madison
to deliver a painting for some silly reason
i took a wrong turn and ended up in michigan
paul baribeau took me to the giant tire swing
gave me a push and he started singing
i sang along while i was swinging
the sound of our voices made us forget everything
that had ever hurt our feelings
e
joey never met a bike that he didnt wanna ride
and i never met a tobey that i didnt like
scotty liked all of the books that i recommended
even if he didnt i wouldnt be offended
i wouldnt be offended
now im home for less than twentyfour hours
thats hardly time to take a shower
hug my family and take your picture off the wall
check my email write a song and make a few phone calls
before its time to leave again
ive got one hand on the steering wheel
one waving out the window
if im a spinster for the rest of my life
my yarns will keep me warm on cold and lonely nights
joey never met a bike that he didnt wanna ride
and i never met a tobey that i didnt like
scotty liked all of the books that i recommended
even if he didnt i wouldnt be offendedd
"
All I Need,Radiohead,"im the next act waiting in the wings
im an animal trapped in your hot car
i am all the days that you choose to ignore
you are all i need
youre all i need
im in the middle of your picture
lying in the reeds
i am a moth who just wants to share your light
im just an insect trying to get out of the night
i only stick with you because there are no others
you are all i need
youre all i need
im in the middle of your picture
lying in the reeds
its all wrong its all wrong its all wrong
its alright its alright its alright
its all wrong its alright
its alright its alrighted
"
Game Of Pricks,Guided By Voices,"ive waited too long to have you
hide in the back of me
ive cheated so long i wonder
how you keep track of me
chorus 
you could never be strong
you can only be free
and ill never ask for the truth
but you owe that to me
ive entered the game of pricks
with knives in the back of me
cant call you or on you no more
when theyre attacking me
chorus 
ill climb up on the house
weep to water the trees
and when you come calling me down
ill put on my disease
instrumental break
see guided by voices liveget tickets as low as echorus 
you could never be strong
you can only be free
and ill never ask for the truth
but you owe that to me
and ill never ask for the truth
but you owe that to me
and ill never ask for the truth
but you owe that to med
"
Terrence Loves You,Lana Del Rey,"you are what you are
i dont matter to anyone
but hollywood legends
will never grow old
and though our love was hidden
well it will never grow cold
but i lost myself when i lost you
but i still got jazz when ive got those blues
and i lost myself when i lost you
and i still get trashed darling when i hear your tunes
but you are who you are
i wont change you for anything
for when you are crazy
ill let you be bad
ill never dare change thee
to what you are not
but i lost myself when i lost you
but i still got jazz when ive got those blues
i lost myself and i lost you too
and i still get trashed baby when i hear your tunes
see lana del rey liveget tickets as low as e
i put the radio on hold you tight in my mind
isnt strange that youre not here with me
im putting all the lights on and the television
trying to transmit can you hear me
ground control to major tom
can you hear me all night long
ground control to major tom
well i lost myself when i lost you
but i still got jazz when ive got the blues
i lost myself and i lost you too
and i still get trashed honey when i hear your tunes
mmm mmm mmmmmmmmm
mmm mmmmmmmmmd
"
The Thing,Pixies,"messenger of fear in sight
dark deception kills the light
hybrid children watch the sea
pray for father roaming free
fearless wretch insanity
he watches lurking beneath the sea
great old one forbidden site
he searches hunter of the shadows is rising
immortal
in madness you dwell
crawling chaos underground
cult has summoned twisted sound
out from ruins once possessed
fallen city living death
fearless wretch insanity
he watches lurking beneath the sea
timeless sleep has been upset
he awakens hunter of the shadows is rising
immortal
in madness you dwell
see metallica liveget tickets as low as eguitar solo
in madness you dwell
not dead which eternal lie
stranger eons death may die
drain you of your sanity
face the thing that should not be
fearless wretch insanity
he watches lurking beneath the sea
great old one forbidden site
he searches hunter of the shadows is rising
immortal
in madness you dwelld
"
I'm Set Free,The Velvet Underground,"ive been set free and ive been bound
to the memories of yesterdays clouds
ive been set free and ive been bound and now
im set free
im set free
im set free to find a new illusion
ive been blinded but now i can see
what in the world has happened to me
the prince of stories who walks right by me and now
im set free
im set free
im set free to find a new illusion
ive been set free and ive been bound
let me tell you people what i found
i saw my head laughing rolling on the ground and now
im set free
im set free
im set free to find a new illusioned
"
Suzanne,Hope Sandoval & The Warm Inventions,"suzanne takes you down
to her place near the river
you can hear the boats go by
you can spend the night beside her
and you know that shes halfcrazy
but thats why you want to be there
and she feeds you tea and oranges
that come all the way from china
and just when you mean to tell her
that you have no love to give her
then she gets you on her wavelength
and she lets the river answer
that youve always been her lover
and you want to travel with her
and you want to travel blind
and you know that she will trust you
for youve touched her perfect body with your mind
and jesus was a sailor
when he walked upon the water
and he spent a long time watching
from his lonely wooden tower
and when he knew for certain
only drowning men could see him
he said all men will be sailors then
until the sea shall free them
but he himself was broken
long before the sky would open
forsaken almost human
he sank beneath your wisdom like a stone
e
and you want to travel with him
and you want to travel blind
and you think maybe youll trust him
for hes touched your perfect body with his mind
now suzanne takes your hand
and she leads you to the river
she is wearing rags and feathers
from salvation army counters
and the sun pours down like honey
on our lady of the harbour
and she shows you where to look
among the garbage and the flowers
there are heroes in the seaweed
there are children in the morning
they are leaning out for love
and they will lean that way forever
while suzanne holds the mirror
and you want to travel with her
and you want to travel blind
and you know you can trust her
for shes touched your perfect body with her mindd
"
I Wish you Roses,Kali Uchis,"ooh never thought i would be without you
i wish you love i wish you well
i wish you roses while you can still smell em
with pretty flowers can come the bee sting ooh never thought i would be without you
but i wish you love i wish you well
i wish you roses while you can still smell em
i was a rose in a garden of weeds
my petals are soft and silky as my sheets
so do not be afraid to get pricked by the thorns
while im here im someone to honor
when im gone im someone to mourn
but if you and my heart should someday drift apart
ill make sur to give you these blssings because theyre all ive got
my loves deep as the ocean dont you drown on me
just know any love i gave yous forever yours to keep
ooh i wish you roses and roses and roses and roses and roses
i wish you roses yeah roses roses
ooh i wish you roses and roses and roses and roses and roses
i wish you roses yeah roses roses
ooh never thought i would be without you
i wish you love i wish you well
i wish you roses while you can still smell em
with pretty flowers can come the bee sting ooh never thought i would be without you
but i wish you love i wish you well
i wish you roses while you can still smell em
e
ooh i wish you roses and roses and roses and roses and roses i wish you roses
i wish you roses yeah roses roses i wish you roses
ooh i wish you roses and roses and roses and roses and roses
i wish you roses yeah roses roses
youre gonna want me back
youre gonna want me bad
youre gonna
you know we cant do that
you know we cant do that
you know wed
"
Oblivius,The Strokes,"unchain me
its not my midnight yet
act like a fox but think like a sheep wall street
unchain me
cause this is my banks advice
were gonna give it back to you
some other day
prechorus
take off from the runway
thinking of a sad day
racing down the highway
looking at me sideways
what side are you standing on
what side you standing on
what side are you standing on
what side you standing on
unchain me
its time
i know the way uptown
unchain me
ive waited for the time
get you with your pajamas on
eprechorus
take off from the runway
thinking of a sad day
playing with his new toys
looking at the sad boys
what side are you standing on
what side you standing on
what side are you standing on
what side you standing on
postchorus
and we take
what we hide from them
and then say
what do you want from me
guitar solo
dont wait so long
way too long
they wait too long
i cant stay awake too long
you never wait for some
other generation
ill wait somewhere
alone get it in your head get out of my way
what side are you standing on
what side you standing on
what side are you standing on
what side you standing on
what side you standing on
what side you standing on
ohhhhd
"
Alone Again (Naturally),Gilbert O'Sullivan,"oh in a little while from now
if im not feeling any less sour
i promised myself to treat myself
and visit a nearby tower
and climbing to the top
will throw myself off
in an effort to make it clear to whoever
what its like when youre shattered
left standing in the lurch at a church
where people saying
my god thats tough she stood him up
no point in us remaining
we may as well go home
as i did on my own
alone again naturally
to think that only yesterday
i was cheerful bright and gay
looking forward to well who wouldnt do
the role i was about to play
but as if to knock me down
reality came around
and without so much as a mere touch
cut me into little pieces
leaving me to doubt
talk about god in his mercy
for if he really does exist
why did he desert me
in my hour of need
i truly am indeed
e
alone again naturally
it seems to me that
there are more hearts
broken in the world
that cant be mended
left unattended
what do we do
what do we do
classical guitar solo
alone again naturally
now looking back over the years
and what ever else that appears
i remember i cried when my father died
never wishing to hide the tears
and at sixtyfive years old
my mother god rest her soul
couldnt understand why the only man
she had ever loved had been taken
leaving her to start with a heart
so badly broken
despite encouragement from me
no words were ever spoken
and when she passed away
i cried and cried all day
alone again naturally
alone again naturallyd
"
A Lover's Concerto,Sarah Vaughan,"how gentle is the rain
that falls softly on the meadow
birds high up in the trees
serenade the clouds with their melodies
oh see there beyond the hill
the bright colors of the rainbow
some magic from above
made this day for us just to fall in love
now i belong to you
from this day until forever
just love me tenderly
and ill give to you every part of me
oh dont ever make me cry
through long lonely nights without us
be always true to me
keep this day in your heart eternally
someday we shall return
to this place upon the meadow
well walk out in the rain
hear the birds above singing once again
oh youll hold me in your arms
and say once again you love me
and if your love is true
everything will be just as wonderful
eyoull hold me in your arms
and say once again you love me
and if your love is true
everything will be just as wonderful
youll hold me in your arms
and say once again you love me
and if your love is true
everything will be just as wonderfuld
"
The Water - feat. Laura Marling,Johnny Flynn,"all that i have is a river
the river is always my home
lord take me away for i just cannot stay
or ill sink in my skin and my bones
the water sustains me without even trying
the water cant drown me im done
with my dying
please help me build a small boat
one thatll ride on the flow
where the river runs deep and the larger fish creep
im glad of what keeps me afloat
the water sustains me without even trying
the water cant drown me im done
with my dying
now deeper the water i sail
and faster the current im in
that each night brings the stars and the song in my heart
is a tune for the journeymans tale
e
the water sustains me without even trying
the water cant drown me im done
with my dying
now the land that i knew is a dream
and the line on the distance grows faint
so wide is my river the horizon a sliver
the artist has run out of paint
where the blue of the sea meets the sky
and the big yellow sun leads me home
im everywhere now the way is a vow
to the wind of each breath by and by
the water sustains me without even trying
the water cant drown me im done
with my dyingd
"
The Water - feat. Laura Marling,Johnny Flynn,"all that i have is a river
the river is always my home
lord take me away for i just cannot stay
or ill sink in my skin and my bones
the water sustains me without even trying
the water cant drown me im done
with my dying
please help me build a small boat
one thatll ride on the flow
where the river runs deep and the larger fish creep
im glad of what keeps me afloat
the water sustains me without even trying
the water cant drown me im done
with my dying
now deeper the water i sail
and faster the current im in
that each night brings the stars and the song in my heart
is a tune for the journeymans tale
e
the water sustains me without even trying
the water cant drown me im done
with my dying
now the land that i knew is a dream
and the line on the distance grows faint
so wide is my river the horizon a sliver
the artist has run out of paint
where the blue of the sea meets the sky
and the big yellow sun leads me home
im everywhere now the way is a vow
to the wind of each breath by and by
the water sustains me without even trying
the water cant drown me im done
with my dyingd
"
Family Tree,Belle and Sebastian,"these crosses all over my body
remind me of who i used to be
give myself up to him in offering
let him make a woman out of me
im just a child but im not above violence
my mama raised me better than that
when the preacher talks that man demands his silence
and daddy said shoot first then run and dont look back
so take me down to the river and bathe me clean
put me on the back of your white horse to ride
all the way to th chapel let you wash all over m
ive killed before and ill kill again
take the noose off wrap it tight around my hand
they say heaven hath no fury like a woman scorned
and baby hell dont scare me ive been times before
so take me down to the river and bathe me clean
put me on the back of your white horse to ride
all the way to the chapel let you wash all over me
see ethel cain liveget tickets as low as e
these crosses all over my body
remind me of who i used to be
let christ forgive these bones ive been hiding
and the bones im about to leave
and take me down to the river and bathe me clean
put me on the back of your white horse to ride
all the way to the chapel let you wash all over med
"
Mood Ring,Lorde,"im tryna blow bubbles but inside
cant seem to fix my mood
today its as dark as my roots
if i if i ever let them grow out ahah
now all of my oceans have riptides
cant seem to find whats wrong
the whole world is letting me down
dont you think the early s seem so far away ayayayay
prechorus
ladies begin your sun salutations
transcendental in your meditations love and light
you can burn sage and ill cleanse the crystals
we can get high but only if the wind blows blows just right
i cant feel a thing
i keep looking at my mood ring
tell me how im feeling
floating away floating away
im tryna get well from the inside
plants and celebrity news all the vitamins i consume
lets fly somewher eastern theyll hav what i need theyll have what i need
lets go
eprechorus
ladies begin your sun salutations
pluto in scorpio generation love and light
you can burn sage and ill cleanse the crystals
we can get high but only if the wind blows blows just right riririright
i cant feel a thing
i keep looking at my mood ring
tell me how im feeling
floating away floating away
all the sad girls sing
well keep dancing til the mood rings
tell us how were feeling
floating away floating away
take me to some kinda
take me to some kinda
take me to some kinda place anywhere
watch the sun set look back on my life take me to some kinda
i just wanna know will it be alright take me to some kinda
take me to some kinda place anywhered
"
Wedding Bell,Beach House,"hello youre hoping
tomorrows never sewn
but youre singing
the only words you know
would you cry
if i lied told a tale
i chose ya
youre ringing
the only wedding bell
and were swimming
the seas we know so
well i tried to stay alive
in our beds in our heads
oh but your wish is my command
oh is your heart still mine to sail
ive met yours now meet mine
i chose ya youre ringing
the only wedding bell
and were swimming
the seas we know so well
i tried to stay alive
in our beds in our head
oh but your wish is my commanded
"
Who'd Have Known,Lily Allen,"its five oclock in the morning
conversation got boring
you said youd go into bed soon
so i snuck off to your bedroom
and i thought id just wait there
until i heard you come up the stairs
and i pretended i was sleeping
and i was hoping you would creep in with me
put your arm around my shoulder
and it was if the room got colder
and we moved closer in together
and started talking about the weather
you said tomorrow would be fun
and we could watch a place in the sun
i didnt know where this was going
when you kissed me
chorus 
are you mine are you mine
cause i stay here all the time
watching telly drinking wine
whod have known whod have known
when you flash up on my phone
i no longer feel alone no longer feel alone
e
i havent left you for days now
and im becoming amazed how
youre quite affectionate in public
in fact your friend said it made her feel sick
and even though its moving forward
theres just the right amount of awkward
and today you accidentally called me baby
chorus 
are you mine are you mine
cause i stay here all the time
watching telly drinking wine
whod have known whod have known
when you flash up on my phone
i no longer feel alone no longer feel alone
chorus 
lets just stay lets just stay
i wanna lie in bed all day
well be laughing all the way
you told your friends they all know
we exist but were taking it slow
lets just see how we go
lets see how we go
chorus 
are you mine are you mine
cause i stay here all the time
watching telly drinking wine
whod have known whod have known
when you flash up on my phone
i no longer feel alone
chorus 
lets just stay lets just stay
i wanna lie in bed all day
well be laughing all the way
you told your friends they all know
we exist but were taking it slow
lets just see how we go
lets see how we god
"
Kracked,Dinosaur Jr.,"come on babe
come on set me free
ive paid for my crime
come on babe
come on rescue me
just this last time
i plead the case
i need to space
dont let it wait
i plead the case
i need to space
dont let it wait
come on babe
come on set me free
ive paid for my crime
come on babe
come on rescue me
just this last timeed
"
Night Is My Friend,Molly Drake,"night is my friend
for when the busy day goes by
a sad and lonely heart have i
night is my friend
long days i spent
and though i go from place to place
i seek and never find your face
night is my friend
for the lights are burning low and i am on my own
i close my eyes and then i know that i am not alone
for night in the end
will bring to me that peace of mind
and comfort where true lovers find
their dreams conserved
so night sweet lovely night
my friended
"
White Chalk,PJ Harvey,"white chalk hills are all ive known
white chalk hills will rot my bones
white chalk sticking to my shoes
white chalk playing as a child with you
white chalk south against time
white chalk cutting down the sea at lyme
i walk the valleys by the cerne
on a path cut fifteen hundred years ago
and i know these chalk hills will rot my bones
dorsets cliffs meet at the sea
where i walked our unborn child in me
white chalk gorsescattered land
scratch my palms theres blood on my handssee pj harvey liveget tickets as low as ed
"
Pitch the Baby,Cocteau Twins,"id like to sup with my baby tonight
refill the cup with my baby tonight
id like to sup with my baby tonight
fill the cup with my baby tonight
i aint up to my baby tonight
cause its too darn hot
too darn hot
too darn hot
too darn hot
id like to coo with my baby tonight
pitch the woo with my baby tonight
id like to coo with my baby tonight
pitch the woo with my baby tonight
brother you fight my baby tonight
cause its too darn hot
too darn hot
too darn hot
too darn hot
according to the kinsey report
every average man you know
much prefers his lovey dovey to court
when the temperature is low
but when the thermometer goes way up
and the weather is sizzling hot
mister pants for romance is not
cause its too darn hot
eid like to coo with my baby tonight
id like to coo with my baby
pitch the woo with my baby
id like to coo with my baby tonight
pitch the woo with my baby tonight
brother you fight my baby tonight
cause its too darn hot
too darn hot
too darn hot
too darn hot
according to the kinsey report
every average man you know
much prefers his lovey dovey to court
when the temperature is low
but when the thermometer goes way up
and the weather is sizzling hot
mister gob for his squab
a marine for his queen
a gi for his cutie pie is not
cause its too darn
too darn
too darn
too darn
too darn
too darn hotd
"
Asa Branca,Rosinha De Valença,"verso 
quando oiei a terra ardendo
qual fogueira de so joo
eu preguntei a deus do cu ai
por que tamanha judiao
eu preguntei a deus do cu ai
por que tamanha judiao
verso 
que braseiro que fornalha
nem um p de prantao
por farta dgua perdi meu gado
morreu de sede meu alazo
por farta dgua perdi meu gado
morreu de sede meu alazo
verso 
int mesmo a asabranca
bateu asas do serto
entonce eu disse adeus rosinha
guarda contigo meu corao
entonce eu disse adeus rosinha
guarda contigo meu corao
verso 
hoje longe muitas lguas
numa triste solido
espero a chuva cair de novo
pra mim vortar pro meu serto
espero a chuva cair de novo
pra mim vortar pro meu serto
everso 
quando o verde dos teus oios
se espaiar na prantao
eu te asseguro no chore no viu
que eu voltarei viu meu corao
eu te asseguro no chore no viu
que eu voltarei viu meu coraod
"
