song-title,song-artist,song-lyrics
Bless the Telephone,Labi Siffre,"its nice to hear your voice again
ive waited all day long
even wrote a song for you
its strange the way you make me feel
with just a word or two
id like to do the same for you
its nice to hear you say hello
and how are things with you 
i love you
but very soon its time to go
an office job to do
while im here writing songs for you
strange
how a phone call can change your day
take you away
away
from the feeling of being alone
bless the telephone
its nice the way you say my name
not very fast or slow just soft and low
the same as when you tell me how you feel
i feel the same way too
im very much in love with you
e
im very much in love with youd
"
The Guy We Used To Know,Alan Dunham,"showers of flowers following you
tears of sadness following you
say goodbye to the guy we used to know
pictures and shadows pass you by
friends you followed theyll pass you by
say goodbye to the guy we used to know
oh its all over
oh its gone by
i can hear your voice call out
im sad and lonely im crying out
say goodbye to the guy we used to know
i can see you standing there
all alone youre standing there
say goodbye to the guy we used to know
oh its all over
oh its gone by
i can see you i am there
a part of me is lying there
say goodby to the guy we used to knowed
"
Algo contigo,Rita Payés,"hace falta que te diga
que me muero por tener algo contigo
es que no te has dado cuenta
de lo mucho que me cuesta ser tu amigo
ya no puedo acercarme a tu boca
sin desertela de una manera loca
necesito controlar tu vida
saber quin te besa
quin te abriga
hace falta que te diga
que me muero por tener algo contigo
es que no te has dado cuenta
de lo mucho que me cuesta ser tu amigo
ya no puedo continuar espiando
tus llegadas da y noche adivinando
ya no s con qu inocente excusa
pasar por tu casa
ya me quedan muy pocos caminos
y aunque pueda parecerte un desatino
no quisiera yo morirme sin tener algo contigo
ya me quedan muy pocos caminos
y aunque pueda parecerte un desatino
no quisiera yo morirme sin tener algo contigo
ealgo contigo
algo contigod
"
Algo contigo,Rita Payés,"hace falta que te diga
que me muero por tener algo contigo
es que no te has dado cuenta
de lo mucho que me cuesta ser tu amigo
ya no puedo acercarme a tu boca
sin desertela de una manera loca
necesito controlar tu vida
saber quin te besa
quin te abriga
hace falta que te diga
que me muero por tener algo contigo
es que no te has dado cuenta
de lo mucho que me cuesta ser tu amigo
ya no puedo continuar espiando
tus llegadas da y noche adivinando
ya no s con qu inocente excusa
pasar por tu casa
ya me quedan muy pocos caminos
y aunque pueda parecerte un desatino
no quisiera yo morirme sin tener algo contigo
ya me quedan muy pocos caminos
y aunque pueda parecerte un desatino
no quisiera yo morirme sin tener algo contigo
ealgo contigo
algo contigod
"
You've Got Time,Regina Spektor,"the animals the animals
trap trap trap til the cage is full
the cage is full stay awake
in the dark count mistakes
the light was off but now its on
searching underground for a bit of sun
the sun is out the day is new
and everyone is waiting waiting on you
and youve got time
and youve got time
think of all the roads
think of all their crossings
taking steps is easy
standing still is hard
remember all their faces
remember all their voices
everything is different
the second time around
the animals the animals
trap trap trap til the cage is full
the cage is full stay awake
in the dark count mistakes
the light was off but now its on
searching underground for a bit of sun
the sun is out the day is new
and everyone is waiting waiting on you
see regina spektor liveget tickets as low as e
and youve got time
and youve got time
and youve got timed
"
Be My Angel,Mazzy Star,"they say its me
that makes you do things
you might not have done
if i was away
and that its me
that likes to talk to you
and watches you
as you walk away
dont say its useless
dont say forget it
dont bring me wishes
of silly dreams
just say its all
from too much freedom
too many fingers
and too many things
they say its you
that washes the weary
and brings the night
into the day
if you wont notice
how can i show you
all of your worries
have all gone away
edont leave me lonely
dont leave me unhappy
just bring me up
into your fate
if you dont need me
then dont deceive me
letting my freedom
turn into stone
just be my angel if you love me
be my angel in the night
be my angel cuz you need me
be my angel and treat me right
dont say you love me
if you dont need me
dont send me roses
on your behalf
just take me down
and walk through your river
down through the middle
and make it last
holding on to you
holding on to me
holding on tight
to my lovers cross
dont say its useless
and dont say forget it
you are my spirit
now you are goned
"
Lonely Heart,Kim Jung Mi,"mr sandman bring me a dream
make him the cutest that ive ever seen
give him two lips like roses and clover
then tell him that his lonesome nights are over
sandman im so alone
dont have nobody to call my own
please turn on your magic beam
mr sandman bring me a dream
mr sandman bring me a dream
make him the cutest that ive ever seen
give him the word that im not a rover
then tell him that his lonesome nights are over
sandman im so alone
dont have nobody to call my own
please turn on your magic beam
mr sandman bring me a dream
mr sandman yes bring us a dream
give him a pair of eyes with a comehither gleam
give him a lonely heart like pagliacci
and lots of wavy hair like liberace
mr sandman someone to hold someone to hold
would be so peachy before were too old
so please turn on your magic beam
mr sandman bring us please please please
mr sandman bring us a dreamed
"
Emerald Eyes,Fleetwood Mac,"the summer night the fading light
the perfect place the perfect time
to take you somewhere we both want to go
a starry drive in mid july
park the car turn off the lights
and venture through a field out on our own
prechorus
the birds they sang a melody
my heart was keeping time and we
were dancing on the edge of something new
slow at first but still it seems
that well go down in history
as lovers from the start just me and you
ive spent a thousand nights
lost in your emerald eyes
lost in a place where i know you can see my soul
make me lose track of time
you and your emerald eyes
finally found a place that i can call my home
a subtle breeze its you and me
chest to chest no in between
and every moments better than the last
anything and everything
that i could ever want and need
is standing right beside me in the grass
eprechorus
the birds they sang a melody
my heart was keeping time and we
were dancing on the edge of something new
slow at first but still it seems
that well go down in history
as lovers from the start just me and you
cause ive spent a thousand nights
lost in your emerald eyes
lost in a place where i know you can see my soul
make me lose track of time
you and your emerald eyes
finally found a place that i can call my home
mmm mmm
mmm mmm
ive spent a thousand nights
lost in your emerald eyes
lost in a place where i know you can see my soul
make me lose track of time
you and your emerald eyes
finally found place that i can call my homed
"
Turbines/Pigs - Live at Bush Hall,"Black Country, New Road","verse may kershaw
ill turn into a witch tonight
how did you happen to find me sir
thought no one could see me now
i didnt put my clothes on
verse may kershaw
the bubble that you left then
i think its safer than the cold
not too late to go home now
ill chew the pill for you
prechorus may kershaw
and im flying away but i think i saw some turbines
turning beneath me
chorus may kershaw
dont waste your pearls on me
dont waste your pearls on me
im only a pig
im only a pig
im only a pig
im only a pig
verse may kershaw
slept beside the maggots and worms
chewed through the mess that we made
ploughed the ground good for you
could grow some plants if you wanted to
see black country new road liveget tickets as low as everse may kershaw
broke the zip insid my stomach
blood dripping down onto the broom
off the broom and through the sky
mixd with your tears seeped to the ground
prechorus may kershaw
and im flying away but i think i saw some turbines
turning beneath me
chorus may kershaw
dont waste your pearls on me
dont waste your pearls on me
im only a pig im only a pig
im only a pig im only a pig
im only a pig im only a pig
im only a pig
verse may kershaw
without a broom or bubble
you learnt to fly all by yourself
you could see through the mess
you chose to float above us
instrumental outrod
"
In Your Eyes,BADBADNOTGOOD,"i just pretend that im in the dark and
i dont regret cause my heart cant take a loss
id rather be so oblivious
id rather be with you
prechorus
when its said when its done yeah
i dont ever wanna know
i can tell what you done yeah
when i look at you
in your eyes
i see theres something burning inside you
oh inside you
in your eyes
i know it hurts to smile but you try to
oh you try to
you always try to hide the pain
you always know just what to say
i always look the other way
im blind im blind
in your eyes
you lie but i dont let it define you
oh define you
e
i tried to find love
in someone else too many times
but i hope you know i mean it mean it
when i tell you youre the one that was on my mind oh
prechorus
when its said when its done yeah
i would never let you know let you know
im ashamed of what ive done yeah
when i look at you
in your eyes your eyes
i see theres something burning inside you inside you
oh inside you oh inside you
in your eyes
i know it hurts to smile but you try to but you try to
oh you try to you try to
you always try to hide the pain oh oh
you always know just what to say oh dear
i always look the other way
im blind im blind
in your eyes
you lie but i dont let it define you hey
oh define you
in your eyes
i see theres something burning inside you
oh inside you
you always try to hide the pain
you always know just what to say
i always look the other way
im blind im blind
in your eyes
you lie but i dont let it define you
oh define youd
"
In Your Eyes,BADBADNOTGOOD,"i just pretend that im in the dark and
i dont regret cause my heart cant take a loss
id rather be so oblivious
id rather be with you
prechorus
when its said when its done yeah
i dont ever wanna know
i can tell what you done yeah
when i look at you
in your eyes
i see theres something burning inside you
oh inside you
in your eyes
i know it hurts to smile but you try to
oh you try to
you always try to hide the pain
you always know just what to say
i always look the other way
im blind im blind
in your eyes
you lie but i dont let it define you
oh define you
e
i tried to find love
in someone else too many times
but i hope you know i mean it mean it
when i tell you youre the one that was on my mind oh
prechorus
when its said when its done yeah
i would never let you know let you know
im ashamed of what ive done yeah
when i look at you
in your eyes your eyes
i see theres something burning inside you inside you
oh inside you oh inside you
in your eyes
i know it hurts to smile but you try to but you try to
oh you try to you try to
you always try to hide the pain oh oh
you always know just what to say oh dear
i always look the other way
im blind im blind
in your eyes
you lie but i dont let it define you hey
oh define you
in your eyes
i see theres something burning inside you
oh inside you
you always try to hide the pain
you always know just what to say
i always look the other way
im blind im blind
in your eyes
you lie but i dont let it define you
oh define youd
"
Child Psychology,Black Box Recorder,"spoken word
i stopped talking when i was six years old
i didnt want anything more to do with the outside world
i was happy being quiet
but of course they wouldnt leave me alone
my parents tried every trick in the book
from speech therapists to child psychologists
they even tried bribery
i could have anything as long as i said it out loud
life is unfair
kill yourself or get over it
life is unfair
kill yourself or get over it
spoken word
of course this episode didnt last forever
id made my point and it was time to move on
to peel away the next layer of deceit
and see what new surprises lay in store
my school report said i showed no interest
a disruptive influence
i felt sorry for them in a way
and when they finally expelled me
it didnt mean a thing
e
life is unfair
kill yourself or get over it
life is unfair
kill yourself or get over it
spoken word
at that time she stopped what she was doing
she stopped playing
she stared she had the facial grimacing
and then the psychiatrist was saying
julie julie can you hear me
can you open your eyes
can you stick out your tongue
and all of a sudden julie struck out
spoken word
the november day i came home
the christmas decorations were already up
spray on snow coloured flashing lights
and an artificial tree that played silent night
over and over again
my parents welcomed me with loving arms
but within an hour were back at each others throats
normal happy childhood back on course
batteries not included
life is unfair
kill yourself or get over it
life is unfair
kill yourself or get over it
life is unfair
kill yourself or get over it
life is unfair
kill yourself or get over itd
"
It's Too Late,Carole King,"stayed in bed all morning just to pass the time
theres something wrong here there can be no denying
one of us is changing or maybe we just stopped trying
and its too late baby now its too late
though we really did try to make it
something inside has died
and i cant hide and i just cant fake it
oh no no no no no no no no
it used to be so easy living here with you
you were light and breezy and i knew just what to do
now you look so unhappy and i feel like a fool
and its too late baby now its too late
though we really did try to make it we cant make it
something inside has died
and i cant hide and i just cant fake it
oh no no
instrumental
dododododododododododo dah
e
therell be good times again for me and you
but we just cant stay together dont you feel it too
still im glad for what we had and how i once loved you
but its too late baby now its too late
though we really did try to make it we cant make it now
something inside has died
and i cant hide and i just cant fake it
oh no no no no no
its too late baby
its too late now darlin
its too lated
"
This Is the Day,The The,"well you didnt wake up this morning
cause you didnt go to bed
you were watching the whites of your eyes turn red
the calendar on your wall
is ticking the days off
youve been reading some old letters
you smile and think how much youve changed
all the money in the world
couldnt buy back those days
you pull back the curtains
and the sun burns into your eyes
you watch a plane flying
across the clear blue sky
this is the day
your life will surely change
this is the day
when things fall into place
you couldve done anything
if youd wanted
and all your friends and family
think that youre lucky
but the side of you theyll never see
is when youre left alone with the memories
that hold your life together like
glue
e
you pull back your curtains
and the sun burns into your eyes
you watch a plane flying
across the clear blue sky
this is the day
your life will surely change
this is the day
when things fall into place
this is the day this is the day
your life will surely change
this is the day this is the day
your life will surely change
this is the day this is the day
your life will surely change
this is the day this is the day
your life will surely change
this is the day this is the day
that your life will surely change
this is the day this is the day
your life will surely change
this is the day this is the day
your life will surely change
this is the day this is the day
your life will surely change
this is the day this is the day
your life will surely changed
"
