song-title,song-artist,song-lyrics
Alameda,Elliott Smith,"you walk down alameda
shuffling your deck of trick cards over everyone
like some precious only son
face down bow to the champion
you walk down alameda
looking at the cracks in the sidewalk
thinking about your friends
how you maintain all them in a constant state of suspense
for your own protection over their affection
nobody broke your heart
you broke your own cause you cant finish what you start
walk down alameda
brushing off the nightmares you wish could plague me when im awake
so now you see your first mistake was thinking that you could relate
for one or two minutes she liked you
but the fix is in
e
youre all pretension i never pay attention
nobody broke your heart
you broke your own because you cant finish what you start
nobody broke your heart
you broke your own because you cant finish what you start
nobody broke your heart
you broke your own because you cant finish what you start
nobody broke your heart
if youre alone it must be you that wants to be apartd
"
Emerald Eyes,Fleetwood Mac,"the summer night the fading light
the perfect place the perfect time
to take you somewhere we both want to go
a starry drive in mid july
park the car turn off the lights
and venture through a field out on our own
prechorus
the birds they sang a melody
my heart was keeping time and we
were dancing on the edge of something new
slow at first but still it seems
that well go down in history
as lovers from the start just me and you
ive spent a thousand nights
lost in your emerald eyes
lost in a place where i know you can see my soul
make me lose track of time
you and your emerald eyes
finally found a place that i can call my home
a subtle breeze its you and me
chest to chest no in between
and every moments better than the last
anything and everything
that i could ever want and need
is standing right beside me in the grass
eprechorus
the birds they sang a melody
my heart was keeping time and we
were dancing on the edge of something new
slow at first but still it seems
that well go down in history
as lovers from the start just me and you
cause ive spent a thousand nights
lost in your emerald eyes
lost in a place where i know you can see my soul
make me lose track of time
you and your emerald eyes
finally found a place that i can call my home
mmm mmm
mmm mmm
ive spent a thousand nights
lost in your emerald eyes
lost in a place where i know you can see my soul
make me lose track of time
you and your emerald eyes
finally found place that i can call my homed
"
Modern Girls & Old Fashion Men,The Strokes,"verse julian casablancas regina spektor both
you were
right modern girls always have to go
right on time oldfashioned men always want a mistress
you were right modern girls always get their way
i was wrong modern men dream of what they cant say
thats alright right right right right right
i dont belong
chorus julian casablancas regina spektor
why you gotta say it if you know its sounding wrong
why you sitting over there
says that hell apologize and it wont take too long
well you dont wanna trust nobody else
always thinking bout yourself
verse julian casablancas regina spektor both
time theres a few things that are gonna have to change
im your son everyone has the same opinion
wont you please your time is almost over
dont be mean we wont get the chance to do this over
thats alright right right right right right
i dont belong
chorus julian casablancas regina spektor
i dont want the imprint of your key upon my nose
why you sitting over there
you dont have to tell no one cause no one wants to know
well you dont have no happiness at home
always thinking bout yourself
ebridge julian casablancas regina spektor both
oh yes were falling down
oh yes were falling down
oh yes were falling down
oh yes were falling down
oh yes were falling down yes were falling down
oh yes were falling down
oh yes were falling down
oh yes were falling down
so fuckin help me up
outro julian casablancas regina spektor both
always thinking bout yourself you dont love me
always thinking bout yourself i am an animal
always thinking bout yourself i am not practical
was id
"
Modern Girls & Old Fashion Men,The Strokes,"verse julian casablancas regina spektor both
you were
right modern girls always have to go
right on time oldfashioned men always want a mistress
you were right modern girls always get their way
i was wrong modern men dream of what they cant say
thats alright right right right right right
i dont belong
chorus julian casablancas regina spektor
why you gotta say it if you know its sounding wrong
why you sitting over there
says that hell apologize and it wont take too long
well you dont wanna trust nobody else
always thinking bout yourself
verse julian casablancas regina spektor both
time theres a few things that are gonna have to change
im your son everyone has the same opinion
wont you please your time is almost over
dont be mean we wont get the chance to do this over
thats alright right right right right right
i dont belong
chorus julian casablancas regina spektor
i dont want the imprint of your key upon my nose
why you sitting over there
you dont have to tell no one cause no one wants to know
well you dont have no happiness at home
always thinking bout yourself
ebridge julian casablancas regina spektor both
oh yes were falling down
oh yes were falling down
oh yes were falling down
oh yes were falling down
oh yes were falling down yes were falling down
oh yes were falling down
oh yes were falling down
oh yes were falling down
so fuckin help me up
outro julian casablancas regina spektor both
always thinking bout yourself you dont love me
always thinking bout yourself i am an animal
always thinking bout yourself i am not practical
was id
"
Half Life,Catherine Wheel,"permission is bloodless
ambition is senseless
dont make a wrong move
work with a purpose
work with a purpose
you win or you lose
imitate a slave
dont make a wrong move
learn from experience
learn from experience
dont be useless
waste is obscene waste is obscene waste is obscene
dont make a wrong move
dont make a wrong move
dont make a wrong move
dont make a wrong move
dont make a wrong move
dont make a wrong moveed
"
Caminando,Isadora,"letra de caminando
caminando en las calles quisiera dejar esta soledad
caminando espero encontrar un amor para sonrer al ver
que mi vida comienza otra vez
quiero sentir al despertar que no hay vaco en mis manos
pues solo tengo aquellos recuerdos que el tiempo dej
caminando tan rebuscado
pero es la lluvia al caer la que besa mis labios
qu voy a hacer es que nadie va a notar
que hay una chica muy sola en esta ciudad
caminando tan rebuscado
pro es la lluvia al caer la que bsa mis labios
qu voy a hacer es que nadie va a notar
que hay una chica muy sola en esta ciudad
caminando
caminando
caminando
caminando
caminando
caminandoed
"
Genius of Love,Tom Tom Club,"what you gonna do when you get out of jail
im gonna have some fun
what do you consider fun
fun natural fun
im in heaven
with my boyfriend my laughing boyfriend
theres no beginning and there is no end
time isnt present in that dimension
youll take my arm
when were walkin rolling and rocking
it is one time im glad im not a man
feels like im dreaming but im not sleeping
im in heaven
with the maven of funk mutation
clintons musicians such as bootsy collins
raise expectations to a new intention
no one can sing
quite like smokey smokey robinson
wailin and skankin to bob marley
reggaes expanding with sly and robbie
oops your mama said uh
oops your mama said uh
oops your mama said uh
oops your mama
eall the weekend
boyfriend was missing
i surely miss him
the way hed hold me in his warm arms
we went insane when we took cocaine
spoken in gibberish language by lani weymouth
bohannon bohannon bohannon bohannon
bohannon bohannon bohannon bohannon
stepping in a rhythm to a kurtis blow
who needs to think when your feet just go
with a hippiethehip and a hippiethehop
who needs to think when your feet just go
bohannon bohannon bohannon bohannon
who needs to think when your feet just go
bohannon bohannon bohannon bohannon
james brown james brown
james brown james brown
if you see him
please remind him unhappy boyfriend
well hes the genius of love
hes got a greater depth of feeling
well hes the genius of love
hes so deepd
"
Come on Home,The Lijadu Sisters,"although my lover lives in a place that i cant live
i kind of find i like a life this lonely
it rips and pierces me in places i cant see
i love the rip of nerves the rip that wakes me
so im dissatisfied i love dissatisfied
i love to feel as though its more than i need
so come on home
so come on home
so come on home
home
youre where you want to be im where i want to be
come on were chasing everything weve ever wanted
replace you easily replace pathetically
i flirt with every flighty thing that falls my way
but how i needed you when i needed you
lets not forget we are so strong so bloody strong
come on home
so come on home
so come on home
home
einstrumental break
blue light falls upon your perfect skin
falls and you draw back again
falls and this is how i felt
and i cannot forget and i cannot forget
come on home
so come on home
but dont forget to leaved
"
Better in the Dark,Jordana,"when i saw you standing there
with the dyedup blonded hair
they said that you had clout
i said i didnt care
when the liquor was all clear
i could see you through the glass
theres something i could tell you
but i forgot to ask
in the shadow of the stars
the lighter makes a spark
but i look better in the dark
i look better in the dark
do you think it would be weird
if i dropped into a dream
always the first to know
always the last to leave
if youre sober in the morning
we can always just pretend
that you drank on your way home
and the party didnt end
e
when the sunlight meets the dawn
youll see im not the one you want
cause i look better in the dark
the night is a thief some poet once wrote
that steals the colors from the day
its kind of pretty if you like words but
theyre not exactly true
because there are colors at night
the burning red of passion
the angry green of jealousy
the ugly and terrifying blackd
"
Better in the Dark,Jordana,"when i saw you standing there
with the dyedup blonded hair
they said that you had clout
i said i didnt care
when the liquor was all clear
i could see you through the glass
theres something i could tell you
but i forgot to ask
in the shadow of the stars
the lighter makes a spark
but i look better in the dark
i look better in the dark
do you think it would be weird
if i dropped into a dream
always the first to know
always the last to leave
if youre sober in the morning
we can always just pretend
that you drank on your way home
and the party didnt end
e
when the sunlight meets the dawn
youll see im not the one you want
cause i look better in the dark
the night is a thief some poet once wrote
that steals the colors from the day
its kind of pretty if you like words but
theyre not exactly true
because there are colors at night
the burning red of passion
the angry green of jealousy
the ugly and terrifying blackd
"
"Crying, Laughing, Loving, Lying",Labi Siffre,"crying
crying never did nobody no good no how
thats why i dont cry
thats why i dont cry
laughing
laughing sometimes does somebody some good somehow
thats why i im laughing now
thats why i im laughing now
loving
loving never did me no good no how no how
thats why i cant love you now
thats why i cant love you now
lying
lying never did nobody no good no how no how
so why am i lying now
so why am i lying now
so why am i lying nowed
"
Dirty Work,Steely Dan,"times are hard youre afraid to pay the fee
so you find yourself somebody
who can do the job for free
when you need a bit of lovin
cause your man is out of town
thats the time you get me runnin
and you know ill be around
im a fool to do your dirty work oh yeah
i dont wanna do your dirty work no more
im a fool to do your dirty work oh yeah
light the candle put the lock upon the door
you have sent the maid home early
like a thousand times before
like the castle in its corner in a medieval game
i foresee terrible trouble
and i stay here just the same
im a fool to do your dirty work oh yeah
i dont wanna do your dirty work no more
im a fool to do your dirty work oh yeah
esaxophone solo
im a fool to do your dirty work oh yeah
i dont wanna do your dirty work no more
im a fool to do your dirty work oh yeah
i dont wanna do your dirty work no more
im a fool to do your dirty work oh yeah
i dont wanna do your dirty work no mored
"
In A Sentimental Mood,Duke Ellington,"in a sentimental mood
i can see the stars come through my room
while your loving attitude
is like a flame that lights the gloom
on the wings of every kiss
drifts a melody so strange and sweet
in this sentimental bliss
you make my paradise complete
rose petals seem to fall
its all i could dream to call you mine
my hearts a lighter thing
since you made this night a thing divine
in a sentimental mood
im within a world so heavenly
for i never dreamt that youd
be loving sentimental me
in a sentimental mood
im within a world so heavenly
for i never dreamt that youd
be loving sentimental meed
"
In A Sentimental Mood,Duke Ellington,"in a sentimental mood
i can see the stars come through my room
while your loving attitude
is like a flame that lights the gloom
on the wings of every kiss
drifts a melody so strange and sweet
in this sentimental bliss
you make my paradise complete
rose petals seem to fall
its all i could dream to call you mine
my hearts a lighter thing
since you made this night a thing divine
in a sentimental mood
im within a world so heavenly
for i never dreamt that youd
be loving sentimental me
in a sentimental mood
im within a world so heavenly
for i never dreamt that youd
be loving sentimental meed
"
Is It Any Wonder?,Durand Jones & The Indications,"this road is gon take us back now
you look so fine i dont know how to act now
they say my child dont stroll off easy
cause when its time you gon hear what she said
is it any wonder
is it any wonder
if you ever leave me alone
ill be cryin wishin youd come home
when i look in your eyes i see you starin at me girl
and when its time i see you holdin on me girl
cause you you got a hold on me yeah
so im gonna make you see yeah
aw yeah
is it any wonder
is it any wonder
is it any wonder
is it any wonder
when the sun goes down at night
gon let you know that everythings alright
see durand jones the indications liveget tickets as low as e
is it any wonder
is it any wonder
is it any wonder
is it any wonder
is it any wonder
is it any wonder
is it any wonder
is it any wonder
is it any wonder
aw babyd
"
Is It Any Wonder?,Durand Jones & The Indications,"this road is gon take us back now
you look so fine i dont know how to act now
they say my child dont stroll off easy
cause when its time you gon hear what she said
is it any wonder
is it any wonder
if you ever leave me alone
ill be cryin wishin youd come home
when i look in your eyes i see you starin at me girl
and when its time i see you holdin on me girl
cause you you got a hold on me yeah
so im gonna make you see yeah
aw yeah
is it any wonder
is it any wonder
is it any wonder
is it any wonder
when the sun goes down at night
gon let you know that everythings alright
see durand jones the indications liveget tickets as low as e
is it any wonder
is it any wonder
is it any wonder
is it any wonder
is it any wonder
is it any wonder
is it any wonder
is it any wonder
is it any wonder
aw babyd
"
Le premier bonheur du jour - Remastered,Françoise Hardy,"le premier bonheur du jour
cest un ruban de soleil
qui senroule sur ta main
et caresse mon paule
cest le souffle de la mer
et la plage qui attend
cest loiseau qui a chant
sur la branche du figuier
le premier chagrin du jour
cest la porte qui se ferme
la voiture qui sen va
le silence qui sinstalle
mais bien vite tu reviens
et ma vie reprend son cours
le dernier bonheur du jour
cest la lampe qui steinted
"
